0,15,24
1,16,26
2,17,28
3,18,30
4,19,32
5,20,34
6,21,36
7,22,38
8,23,40
9,24,42
10,25,44
11,26,46
12,552,1036
13,28,50
14,29,52
15,30,54
16,756,1432
17,32,58
18,870,1654
19,34,62
20,992,1892
21,1056,2017
22,1122,2146
23,1190,2279
24,1260,2416
25,1332,2557
26,1406,2702
27,1482,2851
28,1560,3004
29,1640,3161
30,1722,3322
31,1806,3487
32,1892,3656
33,1980,3829
34,2070,4006
35,2162,4187
36,2256,4372
37,2352,4561
38,2450,4754
39,2550,4951
40,2652,5152
41,2756,5357
42,2862,5566
43,2970,5779
44,3080,5996
45,3192,6217
46,3306,6442
47,3422,6671
48,3540,6904
49,3660,7141
50,3782,7382
